SECTOR IES,NIVEL DE FORMACIÓN,NIVEL ACADÉMICO,MODALIDAD,ÁREA DE CONOCIMIENTO,CARÁCTER IES,IES ACREDITADA,PROGRAMA ACREDITADO,SEXO,DEPARTAMENTO DE OFERTA DEL PROGRAMA,SEMESTRE,MATRICULADOS,GRADUADOS,MATRICULADOS PRIMER CURSO,TASA_NO_GRADUACION,RIESGO_DESERCION
Oficial,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,Si,Femenino,"Bogotá, D.C.",1.0,343.0,14.0,37.0,0.9591836734693877,1
Oficial,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,Si,Femenino,"Bogotá, D.C.",2.0,330.0,16.0,31.0,0.9515151515151515,1
Oficial,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,Si,Masculino,"Bogotá, D.C.",1.0,519.0,26.0,63.0,0.9499036608863198,1
Oficial,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,Si,Masculino,"Bogotá, D.C.",2.0,493.0,26.0,49.0,0.947261663286004,1
Oficial,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,Si,Femenino,"Bogotá, D.C.",1.0,403.0,27.0,35.0,0.9330024813895782,1
Oficial,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,Si,Femenino,"Bogotá, D.C.",2.0,402.0,19.0,31.0,0.9527363184079602,1
Oficial,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,Si,Masculino,"Bogotá, D.C.",1.0,219.0,16.0,15.0,0.9269406392694064,1
Oficial,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,Si,Masculino,"Bogotá, D.C.",2.0,224.0,15.0,22.0,0.9330357142857143,1
Oficial,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,Si,Femenino,"Bogotá, D.C.",1.0,285.0,9.0,37.0,0.968421052631579,1
Oficial,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,Si,Femenino,"Bogotá, D.C.",2.0,271.0,16.0,29.0,0.940959409594096,1
Oficial,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,Si,Masculino,"Bogotá, D.C.",1.0,212.0,7.0,29.0,0.9669811320754716,1
Oficial,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,Si,Masculino,"Bogotá, D.C.",2.0,211.0,9.0,18.0,0.957345971563981,1
Oficial,Universitario,Pregrado,Presencial,Bellas artes,Universidad,Si,Si,Femenino,"Bogotá, D.C.",1.0,186.0,5.0,18.0,0.9731182795698925,1
Oficial,Universitario,Pregrado,Presencial,Bellas artes,Universidad,Si,Si,Femenino,"Bogotá, D.C.",2.0,190.0,11.0,22.0,0.9421052631578948,1
Oficial,Universitario,Pregrado,Presencial,Bellas artes,Universidad,Si,Si,Masculino,"Bogotá, D.C.",1.0,181.0,14.0,20.0,0.9226519337016574,1
Oficial,Universitario,Pregrado,Presencial,Bellas artes,Universidad,Si,Si,Masculino,"Bogotá, D.C.",2.0,175.0,21.0,26.0,0.88,1
Oficial,Universitario,Pregrado,Presencial,Bellas artes,Universidad,Si,Si,Femenino,"Bogotá, D.C.",1.0,238.0,7.0,28.0,0.9705882352941176,1
Oficial,Universitario,Pregrado,Presencial,Bellas artes,Universidad,Si,Si,Femenino,"Bogotá, D.C.",2.0,232.0,16.0,20.0,0.9310344827586207,1
Oficial,Universitario,Pregrado,Presencial,Bellas artes,Universidad,Si,Si,Masculino,"Bogotá, D.C.",1.0,266.0,19.0,21.0,0.9285714285714286,1
Oficial,Universitario,Pregrado,Presencial,Bellas artes,Universidad,Si,Si,Masculino,"Bogotá, D.C.",2.0,270.0,18.0,29.0,0.9333333333333333,1
Oficial,Universitario,Pregrado,Presencial,Bellas artes,Universidad,Si,Si,Femenino,"Bogotá, D.C.",1.0,104.0,8.0,11.0,0.9230769230769231,1
